Position,Height above ground [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h]
41.0,3.3,27.5,0.907,5.496,30.557,-35.708,78.839,-45.897,91.226
42.0,3.3,27.2,0.787,4.796,30.621,-35.965,78.808,-46.511,91.51
43.0,3.3,27.0,-0.167,4.403,32.578,-34.45,78.891,-47.337,92.004
44.0,3.3,26.4,-1.011,4.523,31.941,-33.765,78.801,-48.133,92.338
45.0,3.3,25.6,-1.859,4.698,32.729,-33.941,78.719,-48.763,92.599
46.0,3.2,24.9,-2.499,4.723,33.752,-33.977,78.609,-49.217,92.746
47.0,3.2,24.5,-2.823,4.476,33.954,-33.506,78.469,-49.638,92.852
48.0,3.2,24.1,-3.147,3.983,34.157,-35.266,78.533,-50.887,93.579
49.0,3.1,24.5,-3.331,3.074,32.323,-36.021,78.437,-51.46,93.811
50.0,3.1,24.8,-3.49,2.101,31.489,-37.076,78.393,-52.101,94.128
51.0,3.1,25.3,-3.697,1.066,31.536,-38.025,78.422,-52.872,94.581
52.0,3.0,26.3,-4.039,-0.189,30.77,-37.433,78.461,-53.543,94.992
53.0,2.9,26.9,-4.049,-1.241,31.826,-35.595,78.449,-54.345,95.435
54.0,2.9,27.5,-4.271,-2.19,31.89,-34.342,78.433,-54.97,95.78
55.0,2.8,28.0,-4.559,-2.948,31.801,-33.384,78.443,-55.566,96.131
56.0,2.8,28.1,-4.697,-3.401,32.792,-32.221,78.509,-56.329,96.627
57.0,2.7,28.2,-4.835,-3.854,33.782,-31.058,78.574,-57.093,97.126
58.0,2.6,28.1,-4.933,-4.129,33.836,-30.313,78.613,-57.749,97.545
59.0,2.5,28.0,-5.099,-4.196,33.42,-29.77,78.642,-58.39,97.949
60.0,2.5,27.8,-5.468,-4.01,33.051,-29.187,78.68,-59.122,98.418
61.0,2.4,27.6,-5.604,-3.882,33.365,-28.326,78.699,-59.747,98.809
62.0,2.3,27.4,-5.73,-3.757,33.709,-27.453,78.717,-60.368,99.2
63.0,2.2,27.2,-5.835,-3.574,33.836,-26.747,78.728,-60.977,99.581
64.0,2.1,27.2,-5.874,-3.211,33.278,-26.562,78.72,-61.547,99.924
65.0,2.1,27.3,-5.913,-2.848,32.721,-26.378,78.711,-62.116,100.269
66.0,2.0,27.5,-5.919,-2.434,32.086,-26.167,78.725,-62.697,100.641
67.0,1.9,27.9,-5.88,-1.985,31.392,-25.993,78.755,-63.276,101.026
68.0,1.8,28.5,-5.727,-1.676,30.852,-26.346,78.727,-63.718,101.282
69.0,1.7,29.2,-5.574,-1.368,30.313,-26.699,78.7,-64.161,101.54
70.0,1.6,29.8,-5.422,-1.06,29.774,-27.051,78.672,-64.603,101.798
71.0,1.5,30.4,-5.269,-0.753,29.235,-27.404,78.645,-65.045,102.058
72.0,1.5,31.0,-5.117,-0.445,28.697,-27.756,78.617,-65.486,102.319
73.0,1.4,31.7,-4.965,-0.138,28.159,-28.107,78.59,-65.927,102.58
74.0,1.3,32.2,-4.908,0.143,27.527,-28.469,78.563,-66.371,102.846
75.0,1.2,32.5,-5.924,0.135,25.831,-28.946,78.539,-66.853,103.14
